agency_cd,site_no,parameter_cd,ts_id,loc_web_ds,year_nu,month_nu,mean_va,count_nu
USGS,05320500,00060,325200,,1980,9,178.7,30
USGS,05320500,00060,325200,,1980,10,132.3,31
USGS,05320500,00060,325200,,1980,11,109.6,30
USGS,05320500,00060,325200,,1980,12,52.7,31
USGS,05320500,00060,325200,,1981,1,29.0,31
USGS,05320500,00060,325200,,1981,2,69.1,28
USGS,05320500,00060,325200,,1981,3,107.3,31
USGS,05320500,00060,325200,,1981,4,339.6,30
USGS,05320500,00060,325200,,1981,5,937.7,31
USGS,05320500,00060,325200,,1981,6,875.4,30
USGS,05320500,00060,325200,,1981,7,1545.0,31
USGS,05320500,00060,325200,,1981,8,966.7,31
USGS,05320500,00060,325200,,1981,9,553.1,30
USGS,05320500,00060,325200,,1981,10,309.2,31
USGS,05320500,00060,325200,,1981,11,271.9,30
USGS,05320500,00060,325200,,1981,12,134.2,31
USGS,05320500,00060,325200,,1982,1,55.0,31
USGS,05320500,00060,325200,,1982,2,53.8,28
USGS,05320500,00060,325200,,1982,3,1450.0,31
USGS,05320500,00060,325200,,1982,4,1059.0,30
USGS,05320500,00060,325200,,1982,5,1603.0,31
USGS,05320500,00060,325200,,1982,6,913.9,30
USGS,05320500,00060,325200,,1982,7,504.5,31
USGS,05320500,00060,325200,,1982,8,105.5,31
USGS,05320500,00060,325200,,1982,9,177.9,30
USGS,05320500,00060,325200,,1982,10,562.3,31
USGS,05320500,00060,325200,,1982,11,1017.0,30
USGS,05320500,00060,325200,,1982,12,501.5,31
USGS,05320500,00060,325200,,1983,1,439.7,31
USGS,05320500,00060,325200,,1983,2,1078.0,28
USGS,05320500,00060,325200,,1983,3,3465.0,31
USGS,05320500,00060,325200,,1983,4,4046.0,30
USGS,05320500,00060,325200,,1983,5,2026.0,31
USGS,05320500,00060,325200,,1983,6,904.6,30
USGS,05320500,00060,325200,,1983,7,1750.0,31
USGS,05320500,00060,325200,,1983,8,90.6,31
USGS,05320500,00060,325200,,1983,9,184.1,30
USGS,05320500,00060,325200,,1983,10,223.3,31
USGS,05320500,00060,325200,,1983,11,325.2,30
USGS,05320500,00060,325200,,1983,12,201.7,31
USGS,05320500,00060,325200,,1984,1,152.5,31
USGS,05320500,00060,325200,,1984,2,1299.0,29
USGS,05320500,00060,325200,,1984,3,1799.0,31
USGS,05320500,00060,325200,,1984,4,2219.0,30
USGS,05320500,00060,325200,,1984,5,2135.0,31
USGS,05320500,00060,325200,,1984,6,2038.0,30
USGS,05320500,00060,325200,,1984,7,631.2,31
USGS,05320500,00060,325200,,1984,8,105.2,31
USGS,05320500,00060,325200,,1984,9,41.6,30
USGS,05320500,00060,325200,,1984,10,209.0,31
USGS,05320500,00060,325200,,1984,11,350.1,30
USGS,05320500,00060,325200,,1984,12,204.3,31
USGS,05320500,00060,325200,,1985,1,110.1,31
USGS,05320500,00060,325200,,1985,2,157.6,28
USGS,05320500,00060,325200,,1985,3,1458.0,31
USGS,05320500,00060,325200,,1985,4,1163.0,30
USGS,05320500,00060,325200,,1985,5,377.6,31
USGS,05320500,00060,325200,,1985,6,234.9,30
USGS,05320500,00060,325200,,1985,7,54.2,31
USGS,05320500,00060,325200,,1985,8,39.8,31
USGS,05320500,00060,325200,,1985,9,129.7,30
USGS,05320500,00060,325200,,1985,10,756.5,31
USGS,05320500,00060,325200,,1985,11,293.0,30
USGS,05320500,00060,325200,,1985,12,215.6,31
USGS,05320500,00060,325200,,1986,1,122.4,31
USGS,05320500,00060,325200,,1986,2,80.8,28
USGS,05320500,00060,325200,,1986,3,2113.0,31
USGS,05320500,00060,325200,,1986,4,1424.0,30
USGS,05320500,00060,325200,,1986,5,1426.0,31
USGS,05320500,00060,325200,,1986,6,2351.0,30
USGS,05320500,00060,325200,,1986,7,1179.0,31
USGS,05320500,00060,325200,,1986,8,121.6,31
